Genome Size,Genome Type,k,Query Time,Query Type,Algorithm
2319838,Half,20,0.0016109943389892578,6:4353899:R,naive
2319838,Half,20,0.0017447471618652344,7:1042714:R,naive
2319838,Half,20,0.0018873214721679688,8:4209115:R,naive
2319838,Half,20,0.001543283462524414,9:3303294:R,naive
2319838,Half,20,0.0015549659729003906,10:3725404:R,naive
2319838,Half,30,0.0051419734954833984,0:407193:R,naive
2319838,Half,30,0.004264116287231445,1:4535624:R,naive
2319838,Half,30,0.002040863037109375,2:816501:R,naive
2319838,Half,30,0.0021209716796875,3:3862464:R,naive
2319838,Half,30,0.002145051956176758,4:1489317:R,naive
2319838,Half,30,0.0016751289367675781,5:2776995:R,naive
2319838,Half,30,0.0016062259674072266,6:4353899:R,naive
2319838,Half,30,0.002045869827270508,7:1042714:R,naive
2319838,Half,30,0.002180814743041992,8:4209115:R,naive
2319838,Half,30,0.0018186569213867188,9:3303294:R,naive
2319838,Half,30,0.0015690326690673828,10:3725404:R,naive
